ID,Name,Lat,Lon
72266,Abilene Regional Airport,32.4167,-99.6833
72267,Lubbock International Airport,33.6667,-101.8167
72268,Roswell Industrial Air Centr,33.3,-104.5333
72269,White Sands,32.3833,-106.4833
72270,El Paso International Airport,31.8167,-106.3833
72271,Truth Or Consequences Muni,33.2333,-107.2667
72272,Silver City / Grant,32.6333,-108.15
72273,"Fort Huachuca, Libby Aaf Ft Huachuca",47.6333,-110.3333
72274,Tucson International Airport,32.1333,-110.95
72276,Window Rock Airport,35.65,-109.0667
72278,Phoenix Sky Harbor Airport,33.4333,-112.05
72280,Yuma / Yuma International,32.65,-114.6
72281,"El Centro, Naval Air Facility",32.8167,-115.65
72282,"Las Vegas, Tonopah Range #74 Nellis Afb",37.6167,-116.25
72286,Riverside / March Air Force Base,33.9,-117.25
72288,Burbank-Glendale-Pasadena,34.2,-118.3667
72289,Mount Wilson,34.2333,-118.0667
72290,San Diego International Airport,32.7333,-117.1833
72291,San Nicolas Island,33.2333,-119.4667
72292,Avalon Catalina Airport,33.4,-118.4167
72293,MCAS Miramar,32.8667,-117.15
72295,Los Angeles Airport,33.9333,-118.3833
72297,Long Beach Airport,33.8167,-118.15
72303,Pope Air Force Base,35.1667,-79.0333
72304,Cape Hatteras,35.2667,-75.55
72305,Newport,34.7833,-76.8833
72306,Raleigh-Durham International  Airport,35.9,-78.7667
72308,Norfolk International Airport,36.9,-76.2
72309,"Cherry Point, Marine Corps Air Station",34.8833,-76.8667
72310,Columbia Metropolitan Airport,33.95,-81.1167
72311,Athens Ben Epps Airport,33.95,-83.3333
72312,Greer Greenville Spartburg,34.8833,-82.05
72314,Charlotte/Douglas International,35.2167,-80.1167
72315,Asheville Regional Airport,35.4333,-82.0333
72317,Piedmont Triad International  Airport,36.1,-79.95
72318,"Blacksburg, Va.",37.2,-80.4167
72320,Rome R. B. Russell Airport,34.35,-85.1667
72323,Huntsville International  Jones Field,34.65,-86.7833
72324,Lovell Field,35.0333,-85.2
72326,McGhee Tyson Airport,35.8167,-83.9833
72327,Nashville Airport,36.1167,-86.6833
72332,Tupelo Regional Airport,34.2667,-88.1
72334,Memphis International Airport,35.0333,-89.9833
72340,"North Little Rock, North Little Rock Airport",34.8333,-92.25
72341,"Page, Ok.",34.6833,-94.6167
72342,Russelville Municipal Airport,35.25,-93.1
72344,Fort Smith Regional Airport,35.3333,-94.0333
72348,"West Plains, Mo",36.7333,-91.85
72349,Monette Mo.,36.8833,-93.9
72351,Wichita Falls Sheppard Afb,33.9833,-98
72352,Altus Air Force Base,34.65,-99.2667
72353,Will Rogers World Airport,35.3833,-97.1
72354,Tinker Air Force Base,35.4167,-97.3833
72355,Fort Sill,34.6,-98.4
72356,Tulsa International Airport,36.2,-95.05
72357,Norman / Max Westheimer,35.2167,-97.45
72360,Clayton Municipal Airpark,36.45,-103.15
72362,Socorro Municipal,34.0167,-106.9
72363,Amarillo International  Airport,35.2167,-101.7167
72364,Santa Teresa,31.8667,-106.7
72365,Albuquerque International  Airport,35.0333,-106.6
72370,Kingman Airport,35.25,-113.9333
72371,Page Municipal Airport,36.9333,-111.45
72374,Winslow Municipal Airport,35.0333,-110.7167
72376,"Flagstaff, Az.",35.2333,-111.8167
72381,Edwards Air Force Base,34.9167,-117.9
72382,Palmdale Prod Flight Plant,34.6333,-118.0833
72383,Sandberg,34.75,-118.7167
72384,Bakersfield Meadows Field,35.4333,-119.05
72386,McCarran International Airport,36.1167,-115.2667
72387,Desert Rock Airport,36.6333,-116.0333
72389,Fresno Air Terminal,36.7833,-119.7167
72390,Point Piedras Blanca,35.65,-121.2833
72391,"Nawcwpns Point Mugu, Ca",34.1167,-119.1167
72393,"Lompoc, Vandenberg Air Force Base",34.7167,-120.5667
72394,Santa Maria Public Airport,34.9,-120.4667
72401,Richmond International  Airport,37.5167,-77.3167
72402,Wallops Flight Fac Airport,37.9333,-75.4667
72403,Dulles International Airport,38.9333,-77.45
72404,Nas Patuxent River Md,38.3,-76.0667
72405,Washington National Airport,38.85,-77.0333
72406,Baltimore-Washington International,39.1667,-76.6833
72407,Atlantic City International,39.4667,-74.0833
72408,Philadelphia International Airport,39.8667,-75.2333
72409,Lakehurst Naval Air Station,40.0333,-74.3167
72410,Lynchburg Regional Airport,37.3167,-79.2
72411,Roanoke Regional Airport,37.3167,-79.9667
72412,Raleigh County Mem Airport,37.8,-81.1167
72414,Yeager Airport,38.3667,-81.6
72417,Jennings Randolph Field,38.8833,-79.85
72421,Cincinnati/Northern Ky International,39.05,-84.6667
72422,Lexington Blue Grass Airport,38.0333,-84.6
72423,Standiford Field,38.1833,-85.7333
72424,Fort Knox,37.9,-85.9667
72425,Tri-State Airport,38.3667,-82.55
72426,"Wilmington, Oh.",39.4167,-83.8167
72428,Port Columbus International  Airport,40,-82.05
72429,Cox Dayton International,39.9,-84.2167
72432,Evansville Regional,38.0333,-87.5333
