,WMT,WMT,WMT,WMT,WMT,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,SPOT,SPOT,SPOT,SPOT,SPOT,SHOP,SHOP,SHOP,SHOP,SHOP,NVDA,NVDA,NVDA,NVDA,NVDA,DAL,DAL,DAL,DAL,DAL,TGT,TGT,TGT,TGT,TGT,UAL,UAL,UAL,UAL,UAL,ZM,ZM,ZM,ZM,ZM
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,116.21232551851847,116.31144745162716,114.96337554881522,115.35986328125,6054800,1905.3699951171875,1906.93994140625,1880.0,1883.1600341796875,2853700,337.1300048828125,338.5,327.2699890136719,329.04998779296875,4718300,157.74000549316406,158.66000366210938,154.89999389648438,156.0399932861328,1046400,432.489990234375,438.55999755859375,427.6700134277344,429.1700134277344,1804100,247.1821607418247,248.40143270886676,243.6042988507944,244.17396545410156,7907400,58.8438683862511,59.082224963131765,58.21818568691995,58.83393859863281,8279700,123.350575115865,124.32978132832542,122.69777348963436,123.370361328125,4678000,88.04000091552734,88.26000213623047,86.97000122070312,87.30999755859375,2035700,73.08000183105469,73.80000305175781,72.25,73.08999633789062,1655100
2020-01-13,115.35985976667357,115.52837536659493,114.35871844150239,114.86424255371094,6112600,1891.31005859375,1898.0,1880.800048828125,1891.300048828125,2780800,331.79998779296875,340.8500061035156,331.510009765625,338.9200134277344,6290000,152.1999969482422,154.11500549316406,150.26499938964844,150.8699951171875,1880900,434.989990234375,446.7449951171875,433.75,440.25,1999800,247.51195140701424,252.83876693919515,246.60249174915396,251.82936096191406,7996000,58.62537600311741,59.290785439440434,58.62537600311741,59.08222579956055,8414200,123.2318900991823,123.32091296884266,121.58998902621163,122.51974487304688,3632800,87.30999755859375,87.66999816894531,86.69999694824219,86.88999938964844,2707600,73.88999938964844,75.58000183105469,73.80000305175781,74.02999877929688,3347100
2020-01-14,114.45784552714497,115.19135691786421,114.12082187464011,115.16162109375,6585800,1885.8800048828125,1887.1099853515625,1858.550048828125,1869.43994140625,3440900,344.3999938964844,345.3800048828125,335.5199890136719,338.69000244140625,7199400,151.6199951171875,152.1300048828125,148.22000122070312,149.39999389648438,1048000,442.7699890136719,445.9200134277344,430.5,441.2200012207031,1505500,250.11040132148298,251.12979588527477,246.60250491770137,247.13218688964844,8977200,61.61474549556328,61.82330513375061,60.44283354496406,61.02878952026367,16454100,122.25267613958265,124.29022589849887,122.09442417022521,123.89458465576172,3291900,88.16999816894531,89.63999938964844,87.70999908447266,87.8499984741211,3243500,74.31999969482422,75.11499786376953,72.26000213623047,73.16000366210938,1909500
2020-01-15,113.62520444454441,114.85434063096199,113.51616804796673,114.2695083618164,7454200,1872.25,1878.8599853515625,1855.0899658203125,1862.02001953125,2896600,338.67999267578125,343.1700134277344,336.6000061035156,339.07000732421875,5158000,149.38999938964844,152.82000732421875,149.35499572753906,152.4499969482422,1037400,441.9200134277344,453.0,441.2200012207031,448.510009765625,1632900,247.6418767380295,248.5413479125412,244.3838308939575,245.4232177734375,6577600,61.11817453716335,61.515430461160214,60.61166821423941,61.19762420654297,7953400,116.20927354386207,118.09845681116632,114.30031161108572,115.72461700439453,26743400,87.61000061035156,88.80000305175781,87.25,88.29000091552734,1878900,73.27999877929688,77.77999877929688,73.19999694824219,76.94000244140625,3963500
2020-01-16,114.48758367072614,114.91381480420881,114.26951087277885,114.88407897949219,5369400,1882.989990234375,1885.5899658203125,1866.02001953125,1877.93994140625,2659500,343.5,343.55999755859375,335.8500061035156,338.6199951171875,5016000,153.35000610351562,153.35000610351562,150.27000427246094,151.83999633789062,701300,452.739990234375,453.7799987792969,446.6400146484375,451.29998779296875,1466900,247.57192081038835,249.0210509891247,246.63248027737276,248.78118896484375,7104800,61.63460754725035,62.05172681474442,61.20755470374021,61.455841064453125,4950300,115.86309361033861,116.04113178958683,114.56737591739422,115.05203247070312,9361600,88.79000091552734,89.72000122070312,88.77999877929688,89.54000091552734,2427500,78.0,78.79000091552734,75.11000061035156,76.11000061035156,2998300
2020-01-17,115.03275811115432,115.28056671754413,113.63511394110695,113.95230865478516,10045000,1885.8900146484375,1886.6400146484375,1857.25,1864.719970703125,3997300,341.0,341.57000732421875,337.3800048828125,339.6700134277344,6066500,152.0800018310547,152.64999389648438,146.6199951171875,148.33999633789062,1314900,452.7300109863281,458.9100036621094,452.0,454.8800048828125,1869200,249.5507285431421,249.85055225578253,247.2221195661581,249.1309814453125,6344800,61.7041294427324,62.0517288436764,61.445909497560294,61.60481262207031,5770000,115.22017953738292,116.50601169267105,114.90366805171294,115.64549255371094,7303800,89.80000305175781,90.0999984741211,88.95999908447266,89.69999694824219,4221100,76.66000366210938,76.9000015258789,75.48999786376953,75.55999755859375,1357400
2020-01-21,113.58555537645218,114.67591935392265,113.5161692653876,114.57678985595703,7353700,1865.0,1894.27001953125,1860.0,1892.0,3707800,340.0,341.0,332.5899963378906,338.1099853515625,14350300,147.5,149.44000244140625,145.71499633789062,148.9499969482422,1743900,454.989990234375,472.8599853515625,454.0899963378906,465.44000244140625,2139300,247.66186665214966,249.14097769742887,246.42261763434868,247.7917938232422,5447900,60.83016147852456,61.18769446236215,58.029491489862565,59.92639923095703,16592000,115.38833326046743,115.38833326046743,112.57928719539701,112.79689025878906,8188000,87.87999725341797,88.0,84.56999969482422,85.79000091552734,9546700,75.55999755859375,77.12000274658203,74.31999969482422,76.7300033569336,1606700
2020-01-22,114.2100375504985,115.50855229423182,114.17038726395076,115.08232116699219,4926100,1896.0899658203125,1902.5,1883.3399658203125,1887.4599609375,3216300,332.54998779296875,336.29998779296875,323.6000061035156,326.0,21730000,150.0,152.92999267578125,147.02999877929688,148.1199951171875,1718700,470.0,476.7860107421875,463.1700134277344,464.760009765625,2358400,249.61069811105585,253.4384105223404,248.85115789811476,249.9604949951172,5981000,60.21440919681908,60.30379243812259,59.15174387718246,59.23119354248047,7096400,112.89579847757254,113.82555427537265,112.52982900378909,112.65841674804688,5070600,86.75,87.56999969482422,83.1500015258789,83.33999633789062,8453200,77.06999969482422,77.10600280761719,75.45999908447266,75.54000091552734,1501600
2020-01-23,115.19135613789227,115.2904780717747,114.03161363017833,114.79486083984375,4305100,1885.1099853515625,1889.97998046875,1872.760009765625,1884.5799560546875,2484600,326.0400085449219,349.8800048828125,325.010009765625,349.6000061035156,18200300,148.0,150.9499969482422,147.63999938964844,148.97000122070312,1102100,464.7699890136719,473.0,460.0,469.25,2445000,251.5695291201858,253.0486401422394,248.00165585960258,252.70884704589844,6112900,58.78427747510997,59.96612297831492,57.79113203096421,59.856876373291016,7774500,112.29244646854697,114.31021002061013,111.86713345199107,114.27064514160156,4641500,83.0,85.16999816894531,81.05999755859375,84.87999725341797,6194300,75.66999816894531,75.97000122070312,74.20999908447266,74.47000122070312,1279000
2020-01-24,114.98319445282928,115.01293027587445,113.14941226069735,113.36748504638672,4383400,1891.3699951171875,1894.989990234375,1847.43994140625,1861.6400146484375,3766200,348.4599914550781,359.8500061035156,345.8800048828125,353.1600036621094,17939700,149.35000610351562,150.2100067138672,145.89999389648438,146.6300048828125,1164800,474.0,476.510009765625,457.8299865722656,465.4800109863281,2141100,257.3460690128822,259.3448734323997,248.15157173303507,250.33026123046875,9337800,59.68804184460394,59.797288453593836,57.44353472631351,58.40688705444336,10989500,114.73552448850789,114.73552448850789,112.40124942107785,113.07383728027344,4338900,84.30999755859375,84.7300033569336,80.27999877929688,81.9000015258789,6869800,74.97000122070312,76.18499755859375,72.375,73.0,1660200
